Time,Joint_angle,chamber_1_pressure_bar,chamber_2_pressure_bar
18:04:41,25.197,0.345,0.007
18:04:41,25.268,0.374,0.007
18:04:41,25.31,0.384,0.007
18:04:41,25.709,0.394,0.007
18:04:41,25.558,0.355,0.007
18:04:41,25.474,0.394,0.007
18:04:41,25.425,0.335,0.007
18:04:41,26.262,0.345,0.007
18:04:41,26.74,0.364,0.007
18:04:41,26.505,0.305,0.007
18:04:42,26.889,0.305,0.007
18:04:42,26.22,0.305,0.007
18:04:42,26.223,0.305,0.007
18:04:42,26.728,0.325,0.007
18:04:42,27.014,0.325,0.007
18:04:42,26.289,0.325,0.007
18:04:42,26.765,0.345,0.007
18:04:42,26.146,0.305,0.007
18:04:42,25.81,0.345,0.007
18:04:42,25.618,0.384,0.007
18:04:43,26.019,0.355,0.007
18:04:43,26.113,0.364,0.007
18:04:43,26.295,0.315,0.007
18:04:43,26.256,0.295,0.007
18:04:43,26.357,0.345,0.007
18:04:43,25.921,0.355,0.007
18:04:43,25.682,0.384,0.007
18:04:43,26.033,0.325,0.007
18:04:43,26.235,0.355,0.007
18:04:44,26.724,0.315,0.007
18:04:44,27.009,0.285,0.007
18:04:44,27.169,0.364,0.007
18:04:44,26.747,0.285,0.007
18:04:44,27.022,0.325,0.007
18:04:44,27.178,0.355,0.007
18:04:44,27.262,0.325,0.007
18:04:44,26.447,0.345,0.007
18:04:44,25.971,0.355,0.007
18:04:44,25.71,0.384,0.007
18:04:45,25.557,0.325,0.007
18:04:45,26.354,0.345,0.007
18:04:45,26.305,0.345,0.007
18:04:45,25.9,0.315,0.007
18:04:45,26.529,0.315,0.017
18:04:45,26.902,0.315,0.007
18:04:45,26.596,0.315,0.007
18:04:45,26.067,0.295,0.007
18:04:45,26.253,0.315,0.017
18:04:45,26.745,0.325,0.007
18:04:46,27.023,0.355,0.017
18:04:46,27.177,0.295,0.017
18:04:46,26.888,0.325,0.017
18:04:46,27.101,0.345,0.017
18:04:46,26.723,0.364,0.017
18:04:46,26.127,0.305,0.017
18:04:46,26.304,0.305,0.017
18:04:46,26.777,0.325,0.017
18:04:46,27.039,0.315,0.017
18:04:47,27.187,0.335,0.017
18:04:47,26.9,0.364,0.017
18:04:47,26.235,0.315,0.017
18:04:47,26.233,0.305,0.017
18:04:47,25.851,0.364,0.017
18:04:47,26.022,0.374,0.017
18:04:47,25.742,0.355,0.017
18:04:47,26.067,0.315,0.007
18:04:47,26.128,0.374,0.007
18:04:47,26.663,0.295,0.017
18:04:48,26.977,0.345,0.007
18:04:48,26.782,0.305,0.007
18:04:48,26.548,0.305,0.017
18:04:48,26.04,0.355,0.017
18:04:48,25.743,0.315,0.017
18:04:48,26.088,0.335,0.017
18:04:48,26.283,0.345,0.017
18:04:48,25.877,0.345,0.017
18:04:48,26.52,0.315,0.017
18:04:48,26.886,0.285,0.017
18:04:49,26.725,0.305,0.017
18:04:49,27.01,0.345,0.017
18:04:49,27.171,0.285,0.017
18:04:49,26.747,0.335,0.017
18:04:49,27.018,0.315,0.017
18:04:49,27.174,0.335,0.017
18:04:49,26.38,0.295,0.017
18:04:49,26.819,0.315,0.017
18:04:49,26.55,0.355,0.017
18:04:49,26.906,0.325,0.017
18:04:50,27.106,0.345,0.017
18:04:50,26.336,0.335,0.017
18:04:50,25.909,0.305,0.017
18:04:50,25.675,0.374,0.017
18:04:50,25.913,0.345,0.017
18:04:50,26.041,0.355,0.017
18:04:50,26.614,0.315,0.017
18:04:50,26.453,0.335,0.017
18:04:50,25.988,0.374,0.017
18:04:51,25.712,0.315,0.017
18:04:51,26.05,0.355,0.017
18:04:51,25.755,0.374,0.017
18:04:51,25.953,0.305,0.017
18:04:51,26.563,0.325,0.017
18:04:51,26.921,0.345,0.017
18:04:51,26.751,0.305,0.017
18:04:51,26.531,0.295,0.017
18:04:51,26.388,0.275,0.017
18:04:51,25.938,0.364,0.017
18:04:52,26.177,0.355,0.017
18:04:52,26.333,0.315,0.017
18:04:52,26.793,0.335,0.017
18:04:52,27.048,0.305,0.017
18:04:52,26.325,0.275,0.017
18:04:52,26.288,0.315,0.017
18:04:52,26.252,0.315,0.017
18:04:52,26.748,0.374,0.017
18:04:52,27.017,0.285,0.017
18:04:52,26.674,0.335,0.017
18:04:53,26.468,0.345,0.017
18:04:53,25.984,0.295,0.017
18:04:53,26.097,0.305,0.017
18:04:53,25.785,0.355,0.017
18:04:53,25.604,0.384,0.017
18:04:53,25.868,0.305,0.017
18:04:53,26.515,0.325,0.017
18:04:53,26.884,0.285,0.017
18:04:53,27.099,0.295,0.017
18:04:54,26.841,0.295,0.017
18:04:54,27.075,0.305,0.017
18:04:54,26.837,0.345,0.017
18:04:54,26.199,0.364,0.017
18:04:54,26.202,0.305,0.017
18:04:54,26.33,0.345,0.017
18:04:54,26.778,0.355,0.017
18:04:54,27.032,0.364,0.017
18:04:54,26.67,0.295,0.017
18:04:54,26.979,0.295,0.017
18:04:55,26.285,0.345,0.017
18:04:55,26.763,0.364,0.017
18:04:55,26.65,0.305,0.017
18:04:55,26.097,0.325,0.017
18:04:55,25.773,0.345,0.017
18:04:55,25.597,0.325,0.017
18:04:55,25.984,0.335,0.017
18:04:55,26.081,0.355,0.017
18:04:55,26.277,0.364,0.017
18:04:55,26.389,0.355,0.017
18:04:56,26.436,0.315,0.017
18:04:56,26.463,0.325,0.017
18:04:56,26.364,0.335,0.017
18:04:56,26.81,0.325,0.017
18:04:56,26.545,0.285,0.017
18:04:56,26.901,0.335,0.017
18:04:56,27.109,0.335,0.017
18:04:56,27.226,0.285,0.017
18:04:56,26.914,0.295,0.017
18:04:56,27.116,0.335,0.017
18:04:57,27.23,0.345,0.017
18:04:57,27.293,0.275,0.017
18:04:57,27.328,0.295,0.017
18:04:57,26.972,0.325,0.017
18:04:57,27.148,0.335,0.017
18:04:57,27.248,0.285,0.017
18:04:57,27.303,0.295,0.017
18:04:57,27.334,0.345,0.017
18:04:57,26.839,0.285,0.017
18:04:58,26.187,0.345,0.017
18:04:58,26.321,0.325,0.017
18:04:58,26.27,0.364,0.017
18:04:58,26.758,0.305,0.017
18:04:58,26.159,0.335,0.017
18:04:58,26.305,0.374,0.017
18:04:58,26.774,0.295,0.017
18:04:58,26.168,0.315,0.017
18:04:58,26.325,0.345,0.017
18:04:58,26.416,0.374,0.017
18:04:59,26.334,0.345,0.017
18:04:59,26.421,0.355,0.017
18:04:59,26.842,0.285,0.017
18:04:59,26.563,0.315,0.017
18:04:59,26.048,0.325,0.017
18:04:59,25.745,0.374,0.017
18:04:59,25.578,0.305,0.017
18:04:59,25.973,0.335,0.017
18:04:59,26.199,0.345,0.017
18:04:59,26.7,0.364,0.017
18:05:00,26.485,0.295,0.017
18:05:00,26.875,0.295,0.017
18:05:00,27.089,0.295,0.017
18:05:00,26.332,0.285,0.017
18:05:00,26.792,0.345,0.017
18:05:00,27.048,0.335,0.017
18:05:00,27.191,0.285,0.017
18:05:00,26.759,0.364,0.017
18:05:00,27.029,0.315,0.017
18:05:01,26.805,0.345,0.017
18:05:01,26.19,0.345,0.017
18:05:01,26.197,0.305,0.017
18:05:01,25.829,0.335,0.017
18:05:01,25.624,0.364,0.017
18:05:01,25.512,0.394,0.017
18:05:01,26.329,0.325,0.017
18:05:01,26.402,0.355,0.017
18:05:01,26.829,0.345,0.017
18:05:01,27.068,0.275,0.017
18:05:02,27.203,0.305,0.017
18:05:02,27.278,0.275,0.017
18:05:02,26.945,0.345,0.017
18:05:02,26.641,0.315,0.017
18:05:02,26.956,0.285,0.017
18:05:02,26.257,0.335,0.017
18:05:02,26.378,0.305,0.017
18:05:02,25.929,0.364,0.017
18:05:02,26.563,0.335,0.017
18:05:02,26.914,0.345,0.017
18:05:03,26.741,0.374,0.017
18:05:03,26.649,0.305,0.017
18:05:03,26.457,0.275,0.017
18:05:03,25.977,0.374,0.017
18:05:03,25.712,0.345,0.017
18:05:03,25.563,0.374,0.017
18:05:03,25.475,0.364,0.017
