Time,J0_Ang,J0_fP1,J0_fP2,J1_Ang,J1_fP1,J1_fP2,J2_Ang,J2_fP1,J2_fP2,EE_P1
18:06:22,36.498,0.285,0.047,35.036,0.404,0.057,33.257,0.434,0.017,0
18:06:22,36.498,0.295,0.047,35.036,0.394,0.057,32.975,0.434,0.017,0
18:06:22,36.498,0.295,0.047,35.036,0.384,0.057,32.811,0.474,0.017,0
18:06:22,36.498,0.285,0.047,35.036,0.384,0.057,33.021,0.484,0.017,0
18:06:23,36.498,0.285,0.047,35.036,0.355,0.057,33.239,0.503,0.017,0
18:06:23,36.498,0.285,0.047,35.036,0.355,0.057,33.269,0.513,0.017,0
18:06:23,36.498,0.285,0.047,35.036,0.364,0.057,33.688,0.503,0.017,0
18:06:23,36.498,0.295,0.047,35.036,0.414,0.057,33.528,0.454,0.017,0
18:06:23,36.498,0.285,0.047,35.036,0.454,0.057,33.531,0.474,0.017,0
18:06:23,36.498,0.285,0.047,35.036,0.474,0.057,33.135,0.484,0.017,0
18:06:23,36.498,0.285,0.047,35.382,0.493,0.057,33.32,0.513,0.017,0
18:06:23,36.498,0.285,0.047,35.826,0.513,0.057,33.306,0.434,0.017,0
18:06:23,36.498,0.285,0.047,35.823,0.493,0.057,33.302,0.464,0.017,0
18:06:23,36.498,0.285,0.047,36.073,0.523,0.057,33.413,0.493,0.017,0
18:06:24,36.498,0.285,0.047,36.21,0.523,0.057,33.064,0.503,0.017,0
18:06:24,36.498,0.285,0.047,36.866,0.444,0.057,33.169,0.513,0.017,0
18:06:24,36.498,0.275,0.047,37.243,0.464,0.057,32.927,0.503,0.017,0
18:06:24,36.498,0.275,0.047,37.467,0.474,0.057,32.783,0.464,0.017,0
18:06:24,36.498,0.275,0.047,37.587,0.503,0.057,32.705,0.484,0.017,0
18:06:24,36.498,0.275,0.047,37.657,0.444,0.057,33.366,0.503,0.017,0
18:06:24,36.498,0.285,0.047,37.697,0.493,0.067,33.449,0.444,0.017,0
18:06:24,36.498,0.285,0.047,37.72,0.484,0.057,33.39,0.434,0.017,0
18:06:24,36.498,0.285,0.047,37.732,0.493,0.067,33.449,0.454,0.017,0
18:06:24,36.498,0.275,0.047,38.069,0.513,0.067,33.39,0.474,0.017,0
